Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SJB,ProShares Short High Yield,Bond,"$132,504,543.00",-4.59%,"190,018",$22.44,-0.13%,Yes,No,-0.80%,-3.15%,-2.46%,-22.12%,-23.02%,"$9,104,884.00","-$2,267,794.00","$9,104,884.00","$21,996,948.50","-$47,907,820.50","$126,182,179.50",Inverse Bonds,2011/3/21,0.95%,N/A,$0.17,2018/12/26,$0.07,0.75%,0,-0.31,966,4.12%,35%,15%,1099,$22.38,$23.07,N/A,N/A,36.96,B-,A,C+,C,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UJB,ProShares Ultra High Yield,Bond,"$3,274,348.00",10.80%,285,$66.13,1.09%,No,2x,2.39%,7.08%,4.99%,35.68%,32.09%,$0.00,$0.00,$0.00,$0.00,"$1,469,750.00","$340,500.00",Leveraged Bonds,2011/4/13,1.31%,N/A,$1.92,2018/12/26,$0.65,2.94%,0,0.51,2,100.00%,35%,15%,1099,$61.99,$65.69,$65.21,$66.59,64.6,A,B-,B+,A-,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RIGS,RiverFront Strategic Income Fund,Bond,"$156,415,756.00",1.94%,"69,437",$24.42,-0.08%,No,No,0.08%,1.31%,1.86%,16.20%,19.27%,"$6,018,145.50",$0.00,"$1,207,759.50","-$202,034,021.50","-$308,457,336.50","-$7,596,908.42",High Yield Bonds,2013/10/7,0.47%,N/A,$1.09,2019/1/17,$0.08,4.45%,0,0.16,105,15.15%,35%,15%,1099,$24.11,$24.52,N/A,N/A,60.33,B+,A-,B+,B-,C+,A,N/A,3.5,1.88%,3.06%,553.41,4.63%,1.79%
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,Bond,"$3,168,167,014.00",3.30%,"3,295,769",$26.89,-0.55%,No,No,0.04%,2.17%,2.37%,23.52%,11.73%,"$478,447,479.00","$96,629,256.00","$525,207,441.00","-$1,066,414,332.00","$120,981,315.00","$352,925,492.00",High Yield Bonds,2012/3/15,0.40%,N/A,$1.48,2018/12/19,$0.13,5.51%,0,0.25,713,8.84%,35%,15%,1099,$26.43,$27.07,$26.84,$26.93,58.08,A,A,A-,B,B+,A-,A,3.7,30.79%,4.54%,352.43,5.85%,1.53%
JNK,SPDR Barclays High Yield Bond ETF,Bond,"$8,554,309,161.00",4.70%,"18,822,116",$35.17,-0.51%,No,No,0.34%,3.11%,1.57%,22.71%,12.27%,"$1,256,509,950.00","$472,687,525.00","$1,474,870,525.00","-$2,427,166,475.00","-$1,768,653,350.94","$99,417,198.28",High Yield Bonds,2007/11/28,0.40%,TD Ameritrade,$1.98,2018/12/19,$0.17,5.62%,0,0.32,848,5.87%,35%,15%,1099,$34.32,$35.44,$35.10,$35.23,60.5,A+,A+,A-,B,B,A,A,3.8,49.39%,5.65%,374.4,6.49%,1.58%
CJNK,SPDR BofA Merrill Lynch Crossover Corporate Bond ETF,Bond,"$70,946,598.00",2.69%,"14,221",$25.35,-0.71%,No,No,0.58%,2.24%,0.47%,17.69%,N/A,$0.00,$0.00,$0.00,"$7,689,918.00","$39,101,812.00","$47,339,221.00",High Yield Bonds,2012/6/18,0.30%,N/A,$1.01,2018/12/19,$0.13,3.99%,0,0.16,1081,3.95%,35%,15%,1099,$24.82,$25.44,$25.24,$25.47,61.42,N/A,N/A,A,N/A,N/A,C,A,4.44,7.01%,17.14%,417.97,9.19%,3.45%
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Bond,"$861,262,183.00",5.40%,"524,895",$28.11,-0.35%,No,No,0.86%,3.42%,-1.05%,38.42%,37.63%,"$60,754,358.50","$2,800,106.00","$60,754,358.50","-$340,998,530.50","$768,114,012.50","$842,712,602.50",High Yield Bonds,2012/4/10,0.35%,N/A,$1.60,2018/12/27,$0.14,5.71%,0,0.33,224,37.42%,35%,15%,1099,$27.38,$28.30,$28.05,$28.18,62.51,B,C,B+,A,C,A-,B+,4.14,86.89%,10.61%,335.09,5.87%,1.09%
WBII,WBI Bull|Bear Global Income ETF,Bond,"$108,479,875.00",1.29%,"38,065",$24.35,-0.08%,No,No,0.74%,0.78%,0.83%,6.38%,N/A,"-$2,413,925.00",$0.00,"-$2,413,925.00","-$36,292,265.00","-$219,473,270.00","$112,379,245.00",High Yield Bonds,2014/8/25,1.28%,N/A,$0.83,2018/12/28,$0.09,3.45%,-9899,-0.2,10,100.00%,35%,15%,1099,$23.94,$24.34,$24.32,$24.37,66.4,A,A-,B-,A,A+,B-,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,Bond,"$252,250,383.00",4.01%,"187,429",$23.21,0.22%,No,No,0.30%,2.05%,1.16%,27.74%,17.78%,"-$34,295,265.00","-$4,648,576.00","-$11,664,286.00","$120,842,613.00","$243,515,755.00","$248,949,538.76",High Yield Bonds,2013/12/18,0.43%,2 Platforms,$1.27,2019/1/22,$0.11,5.48%,0,0.29,623,13.25%,35%,15%,1099,$22.78,$23.34,N/A,N/A,55.9,N/A,N/A,B+,N/A,N/A,B-,B-,N/A,N/A,N/A,N/A,N/A,N/A
HYND,WisdomTree Negative Duration High Yield Bond Fund,Bond,"$54,741,914.00",4.19%,"36,056",$20.08,-0.25%,No,No,-0.84%,3.13%,0.51%,25.71%,3.87%,"-$1,952,781.00",$0.00,"$1,978,429.00","$42,932,543.00","$47,309,038.00","$49,514,908.36",High Yield Bonds,2013/12/18,0.48%,E*TRADE,$1.09,2019/1/22,$0.09,5.40%,0,0.4,608,18.73%,35%,15%,1099,$19.66,$20.47,$20.00,$20.25,49.72,N/A,N/A,B,N/A,N/A,B,B-,N/A,N/A,N/A,N/A,N/A,N/A
HYIH,Xtrackers High Yield Corporate Bond - Interest Rate Hedged ETF,Bond,"$6,637,817.00",3.74%,"4,048",$22.08,-0.76%,No,No,0.23%,2.13%,0.86%,26.28%,N/A,$0.00,$0.00,$0.00,"-$2,423,271.50","-$2,413,226.00","-$2,415,025.50",High Yield Bonds,2015/3/3,0.35%,N/A,$1.61,2018/12/21,$0.12,7.26%,0,0.37,3,100.00%,35%,15%,1099,$21.64,$22.34,$22.06,$22.11,53.76,N/A,N/A,B,N/A,N/A,C,C+,N/A,N/A,N/A,N/A,N/A,N/A
