Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,null,null,null,null,null,null
2016-06-01,50.189999,50.490002,49.439999,49.980000,42.190243,53700
2016-07-01,49.980000,50.500000,49.980000,50.330002,42.693729,41100
2016-08-01,50.330002,50.669998,50.330002,50.669998,43.192211,900
2016-09-01,50.669998,51.090000,50.669998,51.090000,43.741428,3800
2016-10-01,51.021999,51.090000,50.849998,50.849998,43.694992,7300
2016-11-01,50.849998,50.849998,50.360001,50.389999,43.470043,600
2016-12-01,50.389999,50.500000,49.922001,50.340000,43.608757,1400
2017-01-01,50.490002,50.490002,50.299999,50.299999,44.232903,0
2017-02-01,50.299999,50.580002,50.299999,50.560001,44.629486,2500
2017-03-01,50.560001,50.560001,50.000000,50.189999,44.469933,1200
2017-04-01,50.189999,50.464001,50.189999,50.464001,44.883259,400
2017-05-01,50.464001,50.910000,50.464001,50.610001,45.188686,8400
2017-06-01,50.610001,50.610001,50.415001,50.415001,45.188259,600
2017-07-01,50.415001,50.669998,50.415001,50.669998,45.592495,8000
2017-08-01,50.669998,50.669998,50.175999,50.459999,45.570408,1900
2017-09-01,50.340000,50.520000,50.259998,50.349998,45.642090,1000
2017-10-01,50.160000,50.310001,49.987999,49.990002,45.496540,1400
2017-11-01,49.990002,49.990002,49.720001,49.779999,45.486240,600
2017-12-01,49.779999,49.779999,48.937000,49.080002,45.027756,1800
2018-01-01,49.080002,49.480000,48.959999,49.340000,46.126747,600
2018-02-01,49.340000,49.340000,48.465000,48.900002,45.885601,1600
2018-03-01,48.900002,49.139999,48.759998,48.870998,46.036461,2200
2018-04-01,48.870998,49.320000,48.840000,49.240002,46.564095,41600
2018-05-01,49.259998,49.549999,49.229000,49.459999,46.973255,38700
2018-06-01,49.459999,51.400002,49.326000,49.439999,47.154102,14700
2018-07-01,49.090000,50.230000,49.090000,50.000000,47.895107,82100
2018-08-01,50.200001,50.509998,49.990002,50.500000,48.572296,104100
2018-09-01,50.500000,50.720001,50.230000,50.610001,48.881569,84500
2018-10-01,50.709999,50.709999,49.453999,49.779999,48.281487,72800
2018-11-01,49.779999,50.369999,49.090000,49.372002,48.096039,82000
2018-12-01,49.372002,49.520000,47.779999,48.303001,47.254391,140900
2019-01-01,48.450001,49.970001,48.320000,49.959999,49.091438,95600
2019-02-01,49.950001,50.320000,49.799999,50.316002,49.656155,96000
2019-03-01,50.242001,50.514000,50.000000,50.389999,49.927937,73800
2019-04-01,50.360001,50.939999,50.360001,50.654999,50.420670,56600
2019-05-01,50.610001,50.689999,50.282001,50.386002,50.386002,26700
2019-05-16,50.340000,50.515202,50.340000,50.515202,50.515202,2607
