Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,null,null,null,null,null,null
2016-06-01,26.750000,27.129999,26.219999,26.230000,25.974688,2094500
2016-07-01,26.309999,26.500000,25.620001,25.910000,25.657803,2607500
2016-08-01,25.879999,26.110001,25.200001,25.309999,25.063643,2526800
2016-09-01,25.340000,25.670000,25.000000,25.010000,24.766562,3441900
2016-10-01,25.010000,25.260000,24.760000,25.240000,24.994326,2756700
2016-11-01,25.250000,26.059999,25.030001,25.150000,24.905199,3486900
2016-12-01,25.120001,25.280001,24.510000,24.639999,24.400164,2741000
2017-01-01,24.540001,24.650000,24.299999,24.430000,24.192207,635000
2017-02-01,24.420000,24.440001,24.000000,24.030001,23.796101,534500
2017-03-01,24.000000,24.590000,23.910000,24.040001,23.806005,3468900
2017-04-01,24.010000,24.120001,23.770000,23.830000,23.598047,928500
2017-05-01,23.799999,23.950001,23.530001,23.600000,23.370287,2372000
2017-06-01,23.559999,23.799999,23.410000,23.530001,23.300968,1689800
2017-07-01,23.510000,23.680000,23.250000,23.280001,23.053402,2887000
2017-08-01,23.280001,23.700001,23.230000,23.260000,23.033596,966300
2017-09-01,23.240000,23.410000,23.080000,23.120001,22.894960,566400
2017-10-01,23.110001,23.200001,23.000000,23.100000,22.875153,585500
2017-11-01,23.070000,23.610001,23.070000,23.170000,22.944473,1555700
2017-12-01,23.250000,23.290001,23.070000,23.120001,22.894960,891700
2018-01-01,23.110001,23.180000,22.910000,23.090000,22.865252,1033900
2018-02-01,23.139999,23.910000,23.110001,23.309999,23.083111,4864000
2018-03-01,23.280001,23.600000,23.190001,23.379999,23.152426,1466900
2018-04-01,23.320000,23.570000,23.000000,23.250000,23.028616,3853600
2018-05-01,23.270000,23.330000,23.110001,23.270000,23.048426,959600
2018-06-01,23.209999,23.219999,22.900000,23.190001,22.969187,2570700
2018-07-01,23.190001,23.219999,22.809999,22.820000,22.640148,2074900
2018-08-01,22.809999,22.850000,22.620001,22.680000,22.501249,1233500
2018-09-01,22.700001,22.760000,22.520000,22.520000,22.342512,471900
2018-10-01,22.510000,23.090000,22.450001,22.990000,22.863293,1914200
2018-11-01,22.980000,23.430000,22.690001,23.110001,22.982632,3176900
2018-12-01,23.000000,24.120001,22.930000,23.520000,23.390373,3638100
2019-01-01,23.900000,23.900000,22.410000,22.469999,22.413063,4358200
2019-02-01,22.410000,22.500000,22.170000,22.200001,22.143747,2141000
2019-03-01,22.200001,22.360001,21.860001,21.889999,21.834532,2296100
2019-04-01,21.840000,21.920000,21.680000,21.719999,21.719999,1323100
2019-05-01,21.730000,22.100000,21.650000,21.879999,21.879999,1732800
2019-05-16,21.950001,21.910000,21.840000,21.879999,21.879999,43109
